canonical_gene	manuscript_tier	screen	branch_tested	held_out_dataset	n_datasets_remaining	median_dataset_rank_delta	positive_dataset_fraction	robust_directional_support
GABRA2	Tier 1 core convergent program	full_matrix	dentate	GSE95752	3	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
GABRB3	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	dentate	none	4	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	dentate	GSE104323	3	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	dentate	GSE214309	3	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	dentate	GSE292261	3	0.5	1.0	True
GPM6A	Tier 1 core convergent program	full_matrix	dentate	GSE95752	3	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
GRIN2B	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	none	4	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE104323	3	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE214309	3	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE292261	3	0.5	1.0	True
KCND2	Tier 2 high-confidence wiring/synaptic executor	full_matrix	dentate	GSE95752	3	0.5	1.0	True
