sample	group	cell_type	source_anchor_label	n_cells	median_counts	median_dentate_identity	median_human_dg_immature	median_human_dg_mature	median_cerebellar_identity	median_shared_granule_neuronal	median_morphogenesis_cytoskeleton	median_axon_guidance_synapse	median_background_max
S4R5	CTRL	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	160	14301.0	0.23113807	0.27481037	1.7140838	0.039377194	0.8885467	0.5370507	1.0380039	0.2543993
S5R5	SAD	DiffN	adult_dg_background_warning	6	1639.0	0.0	0.17710575	0.59816164	0.0	0.6916561	0.41012523	0.3863747	1.4038255
S5R5	SAD	DiffN	adult_human_dg_differentiating_anchor	158	2519.0	0.18631825	0.16224656	1.2288482	0.0	0.6859151	0.42781246	0.5458726	0.38089362
S5R5	SAD	DiffN_OTOF	adult_dg_background_warning	4	3455.0	0.18621993	0.32799852	0.89264643	0.04864722	0.5573375	0.26068944	0.34252784	1.2687551
S5R5	SAD	DiffN_OTOF	adult_human_dg_differentiating_anchor	27	3960.0	0.21375054	0.2874014	1.2169226	0.0	0.72949296	0.3596419	0.48905143	0.4799431
S5R5	SAD	MatN_OTOF	adult_human_dg_mature_anchor	41	35200.0	0.30680147	0.38014597	1.6929388	0.019090073	0.9121942	0.58057255	0.90326416	0.22972898
S5R5	SAD	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	775	14290.0	0.19220495	0.2514451	1.688627	0.034982372	0.8710917	0.59559214	0.97864944	0.28011554
S5R5	SAD	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	318	12781.5	0.22170952	0.29032135	1.7134016	0.0	0.89394695	0.5772692	1.0240043	0.2862532
S5R6	RES	DiffN	adult_dg_background_warning	36	1585.0	0.0	0.1843226	1.0557945	0.0	0.6886227	0.49485132	0.574536	1.3389431
S5R6	RES	DiffN	adult_human_dg_differentiating_anchor	1655	1993.0	0.23498027	0.21499285	1.4609239	0.0	0.789603	0.4568295	0.6437511	0.3763925
S5R6	RES	DiffN_OTOF	adult_dg_background_warning	5	1888.0	0.2785501	0.0	0.83467495	0.0	0.59664226	0.35278285	0.42323282	1.3116155
S5R6	RES	DiffN_OTOF	adult_human_dg_differentiating_anchor	158	2748.5	0.2620564	0.2915979	1.4833995	0.0	0.7324174	0.4418785	0.5757728	0.38551942
S5R6	RES	MatN_OTOF	adult_human_dg_mature_anchor	357	12987.0	0.3785271	0.37533492	1.6511457	0.0	0.77441543	0.49473873	0.77862144	0.26182246
S5R6	RES	MatN_SGCZ_CHRM3	adult_human_dg_mature_anchor	2006	8631.0	0.25266176	0.24420702	1.6065166	0.0	0.8072638	0.5113125	0.9485142	0.2508387
S5R6	RES	MatN_SGCZ_NTF3	adult_human_dg_mature_anchor	3919	9521.0	0.30913317	0.28034553	1.6481183	0.07796012	0.80029666	0.5061883	0.90299594	0.26147115
S6R5	MAD	DiffN	adult_dg_background_warning	4	1143.5	0.0	0.0	0.6651083	0.0	0.3938595	0.33274043	0.7301086	1.1419849
