dataset	sample	branch	source_group	module_id	module_label	n_present_genes	present_genes	n_cells	median_module_score	mean_module_score	within_sample_module_rank	focus_state	state_order	state_bin	state_bin_label	state_label
GSE104323	10X_all_cells	dentate	GC-adult	shared_granule_special	Shared special genes	4	Nfia,Neurod1,Rbfox3,Hmgn2	2613	0.34657359027997264	0.3227042580942889	0.4791666666666667	True	7.0	mature	maturing/mature	GC-adult
GSE104323	10X_all_cells	dentate	RGL	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	199	0.25230082697847794	0.2609916006335579	0.25	True	1.0	progenitor	early/progenitor	RGL
GSE104323	10X_all_cells	dentate	Astro-adult	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	1232	0.2439982847334885	0.2480355912816609	0.20833333333333334	False		other	other	Astro-adult
GSE104323	10X_all_cells	dentate	Astro-juv	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	821	0.28336393107560603	0.292193219622683	0.3333333333333333	False		other	other	Astro-juv
GSE104323	10X_all_cells	dentate	Immature-Astro	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	651	0.4285533019362157	0.4494819080810489	0.5833333333333334	False		other	other	Immature-Astro
GSE104323	10X_all_cells	dentate	RGL_young	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	686	0.33616973737415257	0.37186633140036945	0.4166666666666667	True	0.0	progenitor	early/progenitor	RGL_young
GSE104323	10X_all_cells	dentate	Ependymal	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	182	0.3185045624996436	0.3679866626419591	0.375	False		other	other	Ependymal
GSE104323	10X_all_cells	dentate	PVM	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	79	0.16503504299046318	0.19643116167847752	0.041666666666666664	False		other	other	PVM
GSE104323	10X_all_cells	dentate	MiCajal-Retziusoglia	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	428	0.18434290528132813	0.2043203911888482	0.125	False		other	other	MiCajal-Retziusoglia
GSE104323	10X_all_cells	dentate	Endothelial	downstream_neurite_morphology	Neurite/morphology	21	Gpm6a,Robo2,Dcc,Cadm3,Stmn2,Stmn3,Gap43,Dpysl2,Dpysl3,Map1b,Basp1,Ncam1,L1cam,Cfl1,Rtn1,Rtn3,Nrxn1,Cntn5,Plxna2,Plxna4,Nrp1	543	0.17566092638637792	0.21249308764824074	0.08333333333333333	False		other	other	Endothelial
