gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity
ALG8	ALG8	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.13610850628038396	0.11039725181610528	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.11039725181610528	cerebellar_biased
ALKBH1	ALKBH1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1669883695772183	0.34161883288191264	5	2	0.20418218837049995	0.04533132696218489	True	False	1.0	0.1669883695772183	cerebellar_biased
ALKBH5	ALKBH5	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.2640443403264158	0.2822421203660377	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.2640443403264158	cerebellar_biased
ALKBH6	ALKBH6	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.07174102612266048	0.198752232475445	5	2	0.20418218837049995	0.01922337276925927	True	False	1.0	0.07174102612266048	cerebellar_biased
ALS2	ALS2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.4379847513648324	0.044036431001765165	4	1	0.20418218837049995	0.04533132696218489	False	False	1.0	0.044036431001765165	cerebellar_biased
AMN1	AMN1	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.3309178537695219	0.44308867604861424	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.3309178537695219	cerebellar_biased
AMPH	AMPH	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.00021486327043911477	0.6880839056182286	0.20230665089506006	5	3	0.20418218837049995	0.006815655353197771	True	False	1.0	0.20230665089506006	cerebellar_biased
AMZ2	AMZ2	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.14212984128792228	0.3429400240339955	5	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.14212984128792228	cerebellar_biased
ANAPC10	ANAPC10	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.006531076798327165	0.24445801216889457	4	3	0.20418218837049995	0.04533132696218489	True	False	1.0	0.006531076798327165	cerebellar_biased
ANAPC11	ANAPC11	genomewide_same_symbol_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.23025527630215567	0.7049514408163644	5	3	0.20418218837049995	0.01922337276925927	True	False	1.0	0.23025527630215567	cerebellar_biased
