sample_accession	donor_id	marker_call	marker_confidence	feature_type	model_term_supported	target_set	peak_category	n_barcodes	n_features	n_linked_gene_strings	mean_count	mean_detection_fraction	mean_feature_score	median_feature_score
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	distal_100kb	4609	81	5	0.1334372631110897	0.06125963962081702	0.17817615016246577	0.10456086234182546
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	gene_body_overlap	4609	95	5	0.13675303468043074	0.06568841283073164	0.18797755680807116	0.1286870641593093
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	gene_edge_2kb	4609	3	3	0.34678527518622987	0.16019382367831056	0.4518779462295071	0.4141877033359886
GSM9558423	H187	ambiguous_neuronal	low	Peaks	ConstructionBalance	shared_postmitotic_granule_maturation	proximal_10kb	4609	13	5	0.16128978420147871	0.07068110886726639	0.2046320253743135	0.14570404219442734
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 1 core convergent program	distal_100kb	4609	67	4	0.12524489723221602	0.06016780925055779	0.17299327765633313	0.12783341361760459
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 1 core convergent program	gene_body_overlap	4609	94	4	0.1286197679840091	0.06220715251843064	0.1778494508165702	0.11690403245315449
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 1 core convergent program	gene_edge_2kb	4609	2	1	0.19299197222824907	0.09535691039270991	0.26987754672189534	0.26987754672189534
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 1 core convergent program	proximal_10kb	4609	5	3	0.12137123020177913	0.061228032111087	0.1749701882189155	0.17846135316484724
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	distal_100kb	4609	13	3	0.06966303386351119	0.03399702922375954	0.09866066057605803	0.05235093712035005
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 2 high-confidence wiring/synaptic executor	gene_body_overlap	4609	73	2	0.08035202120924814	0.03842987365398847	0.11145288135856753	0.06099988375889776
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	distal_100kb	4609	17	1	0.06428598777328245	0.03158781412326267	0.09277119109241402	0.06483483111874873
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_body_overlap	4609	1	1	0.3566934259058364	0.16077240182252114	0.4658228366693108	0.4658228366693108
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	gene_edge_2kb	4609	1	1	0.30679106096767195	0.15122586244304623	0.41880042276625906	0.41880042276625906
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 3 broad both-screen mechanism support	proximal_10kb	4609	3	1	0.07130975627395675	0.03739061256961018	0.10622350452711858	0.09613009321610679
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	distal_100kb	4609	61	4	0.11970520969308089	0.05827870630875444	0.16698336880518225	0.13835987101016956
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_body_overlap	4609	16	4	0.17346495986114124	0.07342970275547842	0.2149711125214368	0.07636009276291189
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	gene_edge_2kb	4609	3	3	0.5430679106096767	0.23106964634410934	0.6626546659600852	0.676175558097439
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	Tier 4 screen-specific mechanism support	proximal_10kb	4609	14	3	0.10423705173108515	0.05094070607197099	0.14781263792623364	0.1344297056249149
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	distal_100kb	4609	21	1	0.15003771089689946	0.07083449565549804	0.2033527383761674	0.14593857690961315
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	gene_body_overlap	4609	1	1	0.9394662616619657	0.34996745497938814	1.0123802673467324	1.0123802673467324
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	dentate_fate_wnt_prox1	proximal_10kb	4609	6	1	0.2978230997324076	0.13979894409488683	0.3956097120436457	0.3816264619565308
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_morphology	distal_100kb	4609	221	12	0.1311520151896398	0.06150959808126732	0.17814846616640279	0.12471783926253258
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_morphology	gene_body_overlap	4609	89	13	0.13194750866038843	0.06018512875395233	0.17403366251891522	0.08725635669589271
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_morphology	gene_edge_2kb	4609	10	9	0.3349316554567151	0.15161640269038837	0.43138943015877745	0.4164940630511238
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_morphology	proximal_10kb	4609	27	10	0.1421695073246386	0.0651623634917191	0.1883358476717152	0.14570404219442734
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_synapse_construction	distal_100kb	4609	319	20	0.13891860752201465	0.06446566653358463	0.18690499047179165	0.12887454174327329
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_body_overlap	4609	147	19	0.12702299405333842	0.05813529577593676	0.16757351281147564	0.07645859110819905
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_synapse_construction	gene_edge_2kb	4609	15	12	0.3683517755116801	0.16156794677081074	0.4604763392674469	0.4141877033359886
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_neurite_synapse_construction	proximal_10kb	4609	42	14	0.15554453501947535	0.07183667565529141	0.20747339542573862	0.15609400506471066
GSM9558423	H187	ambiguous_neuronal	low	Peaks	EpigenomicCompatibility	downstream_synaptic_excitability	distal_100kb	4609	98	8	0.15643306574094162	0.07113190253319814	0.20665184630333183	0.13560277228857084
