dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	dentate_like_low_support	low	48	0.292221	0.00601691	0.286204	0.485277	0.433565	0.40678
GSE95752	C1_all_cells	DG08	dentate_gyrus	C1	non_granule_or_ambiguous	low	15	0.0154033	0.081163	-0.0657597	0.148332	0.121581	0.127119
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	candidate_dentate_granule	high	20	0.656286	0.01613	0.640156	0.779433	0.73274	0.181818
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	candidate_dentate_granule	medium	16	0.521833	0.00722029	0.514612	0.517741	0.492401	0.145455
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	dentate_like_low_support	low	49	0.289542	0.00963089	0.279911	0.468447	0.388189	0.445455
GSE95752	C1_all_cells	DG09	dentate_gyrus	C1	non_granule_or_ambiguous	low	25	0.0115525	0.0486978	-0.0371453	0.138911	0.13287	0.227273
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	candidate_dentate_granule	high	6	0.63691	0.0152585	0.621652	0.707877	0.685845	0.08
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	candidate_dentate_granule	medium	9	0.618519	0.00641803	0.612101	0.522977	0.48198	0.12
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	dentate_like_low_support	low	31	0.284784	0.00558991	0.279194	0.393366	0.348676	0.413333
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	non_granule_or_ambiguous	low	29	0.0019918	0.056262	-0.0542702	0.0814	0.0375597	0.386667
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	candidate_dentate_granule	high	9	0.588096	0.00641803	0.581678	0.798959	0.68693	0.0743802
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	candidate_dentate_granule	medium	22	0.562427	0.0161995	0.546227	0.492869	0.450499	0.181818
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	dentate_like_low_support	low	62	0.272996	0.00838485	0.264611	0.428469	0.369084	0.512397
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	non_granule_or_ambiguous	low	28	0.00206294	0.0867921	-0.0847291	0.112334	0.0814155	0.231405
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	candidate_dentate_granule	high	19	0.658665	0.0108987	0.647767	0.76987	0.702128	0.223529
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	candidate_dentate_granule	medium	14	0.560065	0	0.560065	0.521062	0.512592	0.164706
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	dentate_like_low_support	low	28	0.247624	0.00739556	0.240229	0.403446	0.362788	0.329412
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	non_granule_or_ambiguous	low	24	0.00962705	0.040734	-0.031107	0.124186	0.0927052	0.282353
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	candidate_dentate_granule	high	11	0.669309	0	0.669309	0.740105	0.699957	0.139241
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	candidate_dentate_granule	medium	14	0.544756	0.018917	0.525839	0.497393	0.488276	0.177215
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	dentate_like_low_support	low	33	0.283638	0.00525112	0.278387	0.411806	0.371689	0.417722
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	non_granule_or_ambiguous	low	21	0.0224721	0.0868147	-0.0643426	0.1444	0.144594	0.265823
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	candidate_dentate_granule	high	13	0.66408	0.00888651	0.655194	0.70625	0.663482	0.220339
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	candidate_dentate_granule	medium	16	0.572892	0.0165524	0.55634	0.510965	0.508684	0.271186
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	dentate_like_low_support	low	19	0.26772	0.00785859	0.259861	0.416757	0.423795	0.322034
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	non_granule_or_ambiguous	low	11	0.00525112	0.0534036	-0.0481525	0.122984	0.107469	0.186441
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	candidate_dentate_granule	high	18	0.666441	0.0262174	0.640224	0.727095	0.691489	0.136364
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	candidate_dentate_granule	medium	27	0.566345	0.00980883	0.556536	0.527756	0.508033	0.204545
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	dentate_like_low_support	low	64	0.277095	0.00451268	0.272582	0.400506	0.35888	0.484848
