source_layer	expression_scale	broad_class	panel	gene	gene_key	candidate_role	notes	n_cells	detection_fraction	mean_value_all_cells	mean_log1p_value_all_cells	present_in_matrix
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	56808	0.473859	0.990811	0.487057	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	511	0.0919765	0.105675	0.0690771	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	10533	0.0261084	0.0269673	0.0269673	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	67423	0.25515	0.266255	0.266255	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	3304	0.118341	0.260687	0.260687	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	37763	0.00897704	0.0190037	0.0190037	True
human_core_tuned	log1p_cp10k_selected_genes	other_or_ambiguous	dentate_identity	C1ql3	C1QL3	regional_dentate_identity	Allen dentate glutamatergic marker	36805	0.00543404	0.0139073	0.0139073	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	broad_neuronal_structural_warning	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	32081	0.114211	0.181353	0.101545	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	dentate_candidate	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	32875	0.400578	1.10859	0.474215	True
gse268609_hippocampus_rna	raw_selected_counts_with_log1p_summary	other_or_ambiguous	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	29474	0.0444799	0.0773902	0.0416098	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	dentate_candidate	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	56808	0.452084	1.05839	0.49046	True
gse325391_adult_dg	raw_selected_counts_with_log1p_summary	non_dentate_background	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	511	0.105675	0.129159	0.0815955	True
human_core_tuned	log1p_cp10k_selected_genes	broad_neuronal_structural_warning	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	10533	0.0151904	0.015584	0.015584	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_candidate	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	67423	0.283553	0.300151	0.300151	True
human_core_tuned	log1p_cp10k_selected_genes	dentate_low_support	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	3304	0.0817191	0.177784	0.177784	True
human_core_tuned	log1p_cp10k_selected_genes	non_dentate_background	dentate_identity	Calb1	CALB1	regional_dentate_identity	mature dentate granule marker, also broad neuronal/calcium marker	37763	0.0120223	0.0256294	0.0256294	True
