dataset	sample	group	region	platform	candidate_call	call_confidence	n_cells_or_spots	mean_dentate_identity	mean_cerebellar_identity	mean_identity_contrast	mean_structural_program	median_structural_rank	fraction_of_group
GSE95752	C1_all_cells	DG10	dentate_gyrus	C1	non_granule_or_ambiguous	low	30	0	0.0475999	-0.0475999	0.105561	0.0389709	0.4
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	candidate_dentate_granule	high	7	0.48913	0.00900191	0.480128	0.768683	0.67043	0.0578512
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	candidate_dentate_granule	medium	29	0.530327	0.0199251	0.510402	0.484588	0.439861	0.239669
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	dentate_like_low_support	low	52	0.233128	0.00484718	0.228281	0.461735	0.361702	0.429752
GSE95752	C1_all_cells	DG11	dentate_gyrus	C1	non_granule_or_ambiguous	low	33	0	0.069672	-0.069672	0.144747	0.0937907	0.272727
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	candidate_dentate_granule	high	17	0.645882	0.0154565	0.630425	0.741977	0.690838	0.2
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	candidate_dentate_granule	medium	18	0.551615	0.0105022	0.541112	0.512333	0.506513	0.211765
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	dentate_like_low_support	low	24	0.215311	0	0.215311	0.412327	0.317629	0.282353
GSE95752	C1_all_cells	DG12	dentate_gyrus	C1	non_granule_or_ambiguous	low	26	0	0.0313245	-0.0313245	0.186612	0.0961789	0.305882
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	candidate_dentate_granule	high	11	0.634275	0	0.634275	0.742643	0.689535	0.139241
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	candidate_dentate_granule	medium	16	0.521571	0.011815	0.509756	0.4973	0.481546	0.202532
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	dentate_like_low_support	low	34	0.226082	0.0169949	0.209087	0.372359	0.338037	0.43038
GSE95752	C1_all_cells	DG13	dentate_gyrus	C1	non_granule_or_ambiguous	low	18	0.00481352	0.0769368	-0.0721233	0.173477	0.149153	0.227848
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	candidate_dentate_granule	high	13	0.664727	0.00969437	0.655033	0.716461	0.676943	0.220339
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	candidate_dentate_granule	medium	17	0.595494	0.016995	0.578499	0.526561	0.517152	0.288136
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	dentate_like_low_support	low	18	0.217796	0.00700149	0.210795	0.384404	0.356492	0.305085
GSE95752	C1_all_cells	DG14	dentate_gyrus	C1	non_granule_or_ambiguous	low	11	0	0.0501523	-0.0501523	0.143754	0.124186	0.186441
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	candidate_dentate_granule	high	19	0.63598	0.023779	0.612201	0.727414	0.681285	0.143939
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	candidate_dentate_granule	medium	32	0.548297	0.0109977	0.5373	0.526021	0.497178	0.242424
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	dentate_like_low_support	low	55	0.228795	0.00687419	0.221921	0.372571	0.323925	0.416667
GSE95752	C1_all_cells	DG15	dentate_gyrus	C1	non_granule_or_ambiguous	low	26	0.00333244	0.0347539	-0.0314215	0.229522	0.156969	0.19697
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	candidate_dentate_granule	high	5	0.552933	0	0.552933	0.692508	0.648719	0.0943396
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	candidate_dentate_granule	medium	7	0.505566	0	0.505566	0.539326	0.54277	0.132075
GSE95752	C1_all_cells	DG16	dentate_gyrus	C1	dentate_like_low_support	low	31	0.224657	0.00203269	0.222624	0.397676	0.320886	0.584906
