gene	canonical_gene	candidate_role	dentate_candidate_units	dentate_background_units	dentate_candidate_median_rank	dentate_background_median_rank	dentate_rank_delta_vs_background	dentate_rank_p_greater	cerebellar_candidate_units	cerebellar_background_units	cerebellar_candidate_median_rank	cerebellar_background_median_rank	cerebellar_rank_delta_vs_background	cerebellar_rank_p_greater	dentate_candidate_median_detection	cerebellar_candidate_median_detection	n_dentate_datasets_detected_5pct	n_cerebellar_datasets_detected_5pct	dentate_rank_p_adj_bh	cerebellar_rank_p_adj_bh	shared_positive_rank_delta	shared_strict_bh_0_10	combined_rank_delta	minimum_branch_detection	branch_specificity	db_class_key	human_symbol	mouse_symbol	canonical_mouse_symbol	ortholog_symbol_class	human_entrez_id	mouse_entrez_id	human_hgnc_id	mouse_mgi_id	present_in_human_dg_full_gene_list
TRIM35	TRIM35	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.13951645360200077	0.4787966305770784	5	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.13951645360200077	cerebellar_biased	51624531	TRIM35	Trim35	TRIM35	same_symbol	23087	66854	HGNC:16285	MGI:1914104	True
TRIM45	TRIM45	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.012712687198892698	0.050344701897274434	0	1	0.2047379835013634	0.015247217002160102	False	False	1.0	0.012712687198892698	cerebellar_biased	51625890	TRIM45	Trim45	TRIM45	same_symbol	80263	229644	HGNC:19018	MGI:1918187	True
TRIM65	TRIM65	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.0017167440604175456	0.022102136642912974	0.0273485212873098	1	0	0.2047379835013634	0.015247217002160102	False	False	1.0	0.022102136642912974	cerebellar_biased	51616585	TRIM65	Trim65	TRIM65	same_symbol	201292	338364	HGNC:27316	MGI:2442815	True
TRIT1	TRIT1	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.27564716333933814	0.14670449580636763	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.14670449580636763	cerebellar_biased	51624935	TRIT1	Trit1	TRIT1	same_symbol	54802	66966	HGNC:20286	MGI:1914216	True
TRMT11	TRMT11	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.7513047317589243	0.13183542531291642	4	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.13183542531291642	cerebellar_biased	51629527	TRMT11	Trmt11	TRMT11	same_symbol	60487	73681	HGNC:21080	MGI:1920931	True
TRMT2A	TRMT2A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.07662632000576197	0.18090114008356775	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.07662632000576197	cerebellar_biased	51619106	TRMT2A	Trmt2a	TRMT2A	same_symbol	27037	15547	HGNC:24974	MGI:96270	True
TRMT5	TRMT5	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.047365495131605276	0.039994580873335045	3	2	0.2047379835013634	0.03613674988490279	True	False	1.0	0.039994580873335045	cerebellar_biased	51627954	TRMT5	Trmt5	TRMT5	same_symbol	57570	76357	HGNC:23141	MGI:1923607	True
TRMT6	TRMT6	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.12283672059597733	0.17404105683624677	5	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.12283672059597733	cerebellar_biased	51628739	TRMT6	Trmt6	TRMT6	same_symbol	51605	66926	HGNC:20900	MGI:1914176	True
TRMT61A	TRMT61A	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.04193785149116077	0.05794292823962888	5	1	0.2047379835013634	0.03613674988490279	False	False	1.0	0.04193785149116077	cerebellar_biased	51630054	TRMT61A	Trmt61a	TRMT61A	same_symbol	115708	328162	HGNC:23790	MGI:2443487	True
TRMU	TRMU	mgi_one_to_one_ortholog_gene	4	5	1.0	0.5	0.5	0.09626745668698455	6	12	1.0	0.5	0.5	0.009879767867540601	0.1980624394699681	0.13835674165576528	4	3	0.2047379835013634	0.03613674988490279	True	False	1.0	0.13835674165576528	cerebellar_biased	51623323	TRMU	Trmu	TRMU	same_symbol	55687	72026	HGNC:25481	MGI:1919276	True
