dentate_state	feature_set	direction	gene_symbol	standardized_logistic_coefficient	absolute_coefficient
mature	all_curated	dentate_to_cerebellum	Snap25	0.02184000480744575	0.02184000480744575
mature	all_curated	dentate_to_cerebellum	Sox2	0.013908647177042405	0.013908647177042405
mature	all_curated	dentate_to_cerebellum	Stmn2	-0.19980381723097101	0.19980381723097101
mature	all_curated	dentate_to_cerebellum	Stmn3	-0.19011026334586725	0.19011026334586725
mature	all_curated	dentate_to_cerebellum	Stxbp1	-0.13199332152703594	0.13199332152703594
mature	all_curated	dentate_to_cerebellum	Stxbp5l	-0.08007570218219087	0.08007570218219087
mature	all_curated	dentate_to_cerebellum	Synpr	0.21721699464641722	0.21721699464641722
mature	all_curated	dentate_to_cerebellum	Syt1	-0.11803959937612006	0.11803959937612006
mature	all_curated	dentate_to_cerebellum	Tbr1	-0.002098605048445911	0.002098605048445911
mature	all_curated	dentate_to_cerebellum	Tcf7l2	-0.07501321055292852	0.07501321055292852
mature	all_curated	dentate_to_cerebellum	Tubb3	-0.20450775155779471	0.20450775155779471
mature	all_curated	dentate_to_cerebellum	Vim	-0.007560519433199926	0.007560519433199926
mature	all_curated	dentate_to_cerebellum	Wnt3a	-0.12077580692091414	0.12077580692091414
mature	all_curated	dentate_to_cerebellum	Wnt5a	0.013879792288385142	0.013879792288385142
mature	all_curated	dentate_to_cerebellum	Wnt7a	-0.01384955378107287	0.01384955378107287
mature	all_curated	dentate_to_cerebellum	Zbtb20	0.08832957789406128	0.08832957789406128
mature	all_curated	dentate_to_cerebellum	Zic1	-0.04521915910978296	0.04521915910978296
mature	all_curated	dentate_to_cerebellum	Zic2	0.030584669882539307	0.030584669882539307
mature	all_curated	dentate_to_cerebellum	Zic3	-0.05366836669137812	0.05366836669137812
mature	all_curated	cerebellum_to_dentate	Ascl1	-0.10601310245493656	0.10601310245493656
mature	all_curated	cerebellum_to_dentate	Atoh1	-0.035021034126839136	0.035021034126839136
mature	all_curated	cerebellum_to_dentate	Barhl1	0.11428282287557667	0.11428282287557667
mature	all_curated	cerebellum_to_dentate	Basp1	-0.06193955943178611	0.06193955943178611
