population	gene_symbol	n_libraries	mean_log2_expression	median_log2_expression	mean_detection_fraction
Olfactory-bulb GABA, immature proxy	Pax6	28	2.7659670315230676	2.7582064343654276	0.3168064189197207
Olfactory-bulb GABA, immature proxy	Plxna2	28	4.240398646224324	4.308758813630359	0.4790874684095763
Olfactory-bulb GABA, immature proxy	Plxna4	28	3.2022388039310514	2.830440876703893	0.32541267091473053
Olfactory-bulb GABA, immature proxy	Ppp3ca	28	6.539966082313226	6.640961808218083	0.7069276301250996
Olfactory-bulb GABA, immature proxy	Prox1	28	0.7600709601659227	0.2647504040169574	0.08400754935525141
Olfactory-bulb GABA, immature proxy	Ptch1	28	1.7450704297068766	1.8163020712514848	0.20872267715943904
Olfactory-bulb GABA, immature proxy	Rfx3	28	6.5903176484464625	6.603656855617376	0.7271222311899048
Olfactory-bulb GABA, immature proxy	Robo2	28	11.003625609150813	11.903465127105436	0.9186877429510087
Olfactory-bulb GABA, immature proxy	Rtn1	28	8.8594245084181	8.974040970139438	0.9133762018082232
Olfactory-bulb GABA, immature proxy	Rtn3	28	8.619862408197404	8.661371934617687	0.8969489499801784
Olfactory-bulb GABA, immature proxy	Slc17a6	28	0.0058458785118861	0.0	0.0006470138049085392
Olfactory-bulb GABA, immature proxy	Slc17a7	28	0.010539400912234929	0.0	0.001331252701965375
Olfactory-bulb GABA, immature proxy	Snap25	28	6.911455664987847	7.233199774550084	0.7493246051595691
Olfactory-bulb GABA, immature proxy	Sox2	28	2.7375447585392507	2.6455000733096727	0.3216252292203485
Olfactory-bulb GABA, immature proxy	Stmn2	28	6.187983232764601	6.310066387682127	0.6660524272584523
Olfactory-bulb GABA, immature proxy	Stmn3	28	3.595720053394619	3.129434608428726	0.42006794110627005
Olfactory-bulb GABA, immature proxy	Stxbp1	28	2.854000641110577	3.0646813351813273	0.34272322471713335
Olfactory-bulb GABA, immature proxy	Stxbp5l	28	3.3599859263780916	3.6960502013546335	0.3846742856195409
Olfactory-bulb GABA, immature proxy	Synpr	28	8.099939535534734	8.97854619517167	0.7953365846229097
Olfactory-bulb GABA, immature proxy	Syt1	28	5.19017502459483	5.393023101575945	0.5368221860346675
Olfactory-bulb GABA, immature proxy	Tbr1	28	0.006412182179433168	0.0	0.0008754621559862394
Olfactory-bulb GABA, immature proxy	Tcf7l2	28	0.22229081975725298	0.124104545199618	0.02569450843282168
Olfactory-bulb GABA, immature proxy	Tubb3	28	4.488425928691131	4.535151967247158	0.514155869313747
Olfactory-bulb GABA, immature proxy	Vim	28	0.29972601057065296	0.0679901670832971	0.034483594516233076
Olfactory-bulb GABA, immature proxy	Wnt3a	28	0.012227943878173289	0.0	0.0015198370644051644
Olfactory-bulb GABA, immature proxy	Wnt5a	28	0.7165139702969345	0.7148814112804005	0.08792903800234994
Olfactory-bulb GABA, immature proxy	Wnt7a	28	1.2348176746808117	1.3330550082657944	0.15161022904907787
Olfactory-bulb GABA, immature proxy	Zbtb20	28	9.617485094398122	9.113227062777625	0.902560668393314
Olfactory-bulb GABA, immature proxy	Zic1	28	0.6450051945071976	0.7474556605177576	0.07644009382790014
Olfactory-bulb GABA, immature proxy	Zic2	28	0.26773547658782965	0.24853065957454584	0.03232593063120502
Olfactory-bulb GABA, immature proxy	Zic3	28	0.124805259736957	0.1357797467389259	0.015568083448047073
Olfactory-bulb GABA, mature proxy	Ascl1	24	0.02819837291225953	0.02949354097710835	0.0038279447270443
Olfactory-bulb GABA, mature proxy	Atoh1	24	0.0	0.0	0.0
Olfactory-bulb GABA, mature proxy	Barhl1	24	0.0021432516065637793	0.0016957016907122	0.00028745390494747916
Olfactory-bulb GABA, mature proxy	Basp1	24	6.852528267436868	6.871622965692563	0.7927045688150475
Olfactory-bulb GABA, mature proxy	Bcl11b	24	4.0050390521576675	4.107014247482625	0.4842569797068017
Olfactory-bulb GABA, mature proxy	Bmp4	24	0.012643778297203171	0.01144212807408465	0.0016484809793609375
Olfactory-bulb GABA, mature proxy	Bmpr1a	24	4.1799136151754555	4.105556978146849	0.5194017214689187
Olfactory-bulb GABA, mature proxy	C1ql3	24	0.07456113486195975	0.06442563596070436	0.010032693037616992
Olfactory-bulb GABA, mature proxy	Cacna2d1	24	9.837996837587506	9.90547680917158	0.9385305189469785
Olfactory-bulb GABA, mature proxy	Cadm3	24	3.315898479410498	3.49693277984331	0.4169164568374124
