dataset	region	axis_type	comparison_group	transition_id	transition_label	metric_type	metric_id	metric_label	start_label	end_label	start_score	end_score	delta_end_minus_start	direction
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	P5	P28	0.7999999999999999	0.20000000000000004	-0.5999999999999999	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	signature	stop_minus_permissive_index	Stop minus permissive balance	P5	P28	-0.020000000000000018	-2.7755575615628914e-17	0.01999999999999999	increased
GSE292261	dentate_gyrus	postnatal_dentate_age	all_DG_cells	p5_to_p28_all	P5 to P28 all DG cells	signature	tgf_bdnf_2005_index	TGF-beta/BDNF 2005 mechanism	P5	P28	0.75	0.2	-0.55	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	pathway	bdnf_trkb_mapk	BDNF/TrkB/MAPK	P15	P28	0.8	0.2	-0.6000000000000001	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	pathway	notch_hes	Notch/HES	P15	P28	0.6	0.2	-0.39999999999999997	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	pathway	shh_granule_expansion	SHH/PTCH/GLI	P15	P28	0.8	0.4	-0.4	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	pathway	tgf_beta_smad	TGF-beta/SMAD	P15	P28	0.7	0.2	-0.49999999999999994	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	signature	differentiation_stop_index	Differentiation/stop signaling	P15	P28	0.68	0.2	-0.48000000000000004	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	signature	neurogenic_permissive_index	Neurogenic/permissive signaling	P15	P28	0.6666666666666666	0.20000000000000004	-0.46666666666666656	decreased
GSE292261	dentate_gyrus	postnatal_dentate_age	candidate_dentate_granule_only	p15_to_p28_candidate	P15 to P28 candidate dentate GCs	signature	stop_minus_permissive_index	Stop minus permissive balance	P15	P28	0.01333333333333342	-2.7755575615628914e-17	-0.013333333333333447	decreased
